column_a,year,month,dayofmonth,dayofweek,deptime,crsdeptime,arrtime,crsarrtime,uniquecarrier,flightnum,tailnum,actualelapsedtime,crselapsedtime,airtime,arrdelay,depdelay,origin,dest,distance,taxiin,taxiout,cancelled,cancellationcode,diverted,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay,yearmonth
321747  ,2008,1    ,30        ,3        ,1056.0 ,1050      ,1838.0 ,1832      ,DL           ,1828     ,N399DA ,282.0            ,282.0         ,237.0  ,6.0     ,6.0     ,LAX   ,MCO ,2217    ,7.0   ,38.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321749  ,2008,1    ,30        ,3        ,1632.0 ,1620      ,1909.0 ,1900      ,DL           ,1830     ,N920DE ,157.0            ,160.0         ,126.0  ,9.0     ,12.0    ,TPA   ,LGA ,1011    ,13.0  ,18.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321750  ,2008,1    ,30        ,3        ,1750.0 ,1740      ,2013.0 ,2000      ,DL           ,1832     ,N688DL ,143.0            ,140.0         ,111.0  ,13.0    ,10.0    ,ATL   ,EWR ,745     ,7.0   ,25.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321752  ,2008,1    ,30        ,3        ,1611.0 ,1555      ,1946.0 ,1930      ,DL           ,1834     ,N949DL ,215.0            ,215.0         ,194.0  ,16.0    ,16.0    ,BOS   ,FLL ,1237    ,3.0   ,18.0   ,false    ,N               ,false   ,13.0        ,0.0         ,0.0     ,0.0          ,3.0              ,2008-01
321763  ,2008,1    ,30        ,3        ,1959.0 ,1950      ,2044.0 ,2032      ,DL           ,1848     ,N976DL ,105.0            ,102.0         ,85.0   ,12.0    ,9.0     ,ATL   ,STL ,483     ,7.0   ,13.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
25115   ,2008,1    ,10        ,4        ,1910.0 ,1620      ,2031.0 ,1750      ,WN           ,1924     ,N448WN ,81.0             ,90.0          ,61.0   ,161.0   ,170.0   ,SFO   ,LAS ,414     ,6.0   ,14.0   ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,161.0            ,2008-01
321772  ,2008,1    ,30        ,3        ,1419.0 ,1145      ,1707.0 ,1440      ,DL           ,1856     ,N995DL ,168.0            ,175.0         ,149.0  ,147.0   ,154.0   ,MCO   ,BOS ,1121    ,6.0   ,13.0   ,false    ,N               ,false   ,147.0       ,0.0         ,0.0     ,0.0          ,0.0              ,2008-01
321779  ,2008,1    ,30        ,3        ,1544.0 ,1535      ,1709.0 ,1707      ,DL           ,1865     ,N936DL ,85.0             ,92.0          ,64.0   ,2.0     ,9.0     ,ATL   ,SRQ ,445     ,4.0   ,17.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321791  ,2008,1    ,30        ,3        ,1851.0 ,1840      ,2157.0 ,2159      ,DL           ,1885     ,N912DL ,186.0            ,199.0         ,160.0  ,-2.0    ,11.0    ,LGA   ,FLL ,1076    ,4.0   ,22.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321795  ,2008,1    ,30        ,3        ,1112.0 ,1105      ,1256.0 ,1245      ,DL           ,1890     ,N908DA ,104.0            ,100.0         ,80.0   ,11.0    ,7.0     ,PHX   ,SLC ,507     ,5.0   ,19.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321797  ,2008,1    ,30        ,3        ,1535.0 ,1500      ,1815.0 ,1750      ,DL           ,1894     ,N912DL ,160.0            ,170.0         ,131.0  ,25.0    ,35.0    ,PBI   ,LGA ,1035    ,14.0  ,15.0   ,false    ,N               ,false   ,0.0         ,0.0         ,24.0    ,0.0          ,1.0              ,2008-01
321801  ,2008,1    ,30        ,3        ,1331.0 ,1210      ,1628.0 ,1515      ,DL           ,1898     ,N933DL ,177.0            ,185.0         ,145.0  ,73.0    ,81.0    ,PBI   ,LGA ,1035    ,9.0   ,23.0   ,false    ,N               ,false   ,0.0         ,0.0         ,73.0    ,0.0          ,0.0              ,2008-01
321814  ,2008,1    ,30        ,3        ,1059.0 ,1030      ,1217.0 ,1147      ,DL           ,1916     ,N984DL ,78.0             ,77.0          ,38.0   ,30.0    ,29.0    ,LGA   ,BOS ,185     ,6.0   ,34.0   ,false    ,N               ,false   ,29.0        ,0.0         ,1.0     ,0.0          ,0.0              ,2008-01
321820  ,2008,1    ,30        ,3        ,1344.0 ,1330      ,1515.0 ,1439      ,DL           ,1922     ,N914DE ,91.0             ,69.0          ,43.0   ,36.0    ,14.0    ,LGA   ,BOS ,185     ,7.0   ,41.0   ,false    ,N               ,false   ,0.0         ,1.0         ,22.0    ,0.0          ,13.0             ,2008-01
321823  ,2008,1    ,30        ,3        ,1538.0 ,1530      ,1703.0 ,1641      ,DL           ,1925     ,N914DE ,85.0             ,71.0          ,48.0   ,22.0    ,8.0     ,BOS   ,LGA ,185     ,6.0   ,31.0   ,false    ,N               ,false   ,0.0         ,0.0         ,14.0    ,0.0          ,8.0              ,2008-01
321850  ,2008,1    ,30        ,3        ,1343.0 ,1330      ,1506.0 ,1442      ,DL           ,1955     ,N916DE ,83.0             ,72.0          ,44.0   ,24.0    ,13.0    ,LGA   ,DCA ,214     ,3.0   ,36.0   ,false    ,N               ,false   ,13.0        ,0.0         ,11.0    ,0.0          ,0.0              ,2008-01
25116   ,2008,1    ,10        ,4        ,2140.0 ,2105      ,2256.0 ,2235      ,WN           ,2875     ,N693SW ,76.0             ,90.0          ,64.0   ,21.0    ,35.0    ,SFO   ,LAS ,414     ,2.0   ,10.0   ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,21.0             ,2008-01
321853  ,2008,1    ,30        ,3        ,1536.0 ,1530      ,1722.0 ,1645      ,DL           ,1958     ,N916DE ,106.0            ,75.0          ,46.0   ,37.0    ,6.0     ,DCA   ,LGA ,214     ,6.0   ,54.0   ,false    ,N               ,false   ,0.0         ,0.0         ,31.0    ,0.0          ,6.0              ,2008-01
321854  ,2008,1    ,30        ,3        ,1603.0 ,1530      ,1709.0 ,1650      ,DL           ,1959     ,N915DE ,66.0             ,80.0          ,45.0   ,19.0    ,33.0    ,LGA   ,DCA ,214     ,4.0   ,17.0   ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,19.0             ,2008-01
321858  ,2008,1    ,30        ,3        ,1740.0 ,1730      ,1856.0 ,1851      ,DL           ,1963     ,N916DE ,76.0             ,81.0          ,48.0   ,5.0     ,10.0    ,LGA   ,DCA ,214     ,4.0   ,24.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321866  ,2008,1    ,31        ,4        ,1645.0 ,1620      ,2031.0 ,1925      ,DL           ,8        ,N989DL ,166.0            ,125.0         ,119.0  ,66.0    ,25.0    ,IAH   ,ATL ,689     ,8.0   ,39.0   ,false    ,N               ,false   ,2.0         ,0.0         ,41.0    ,0.0          ,23.0             ,2008-01
321870  ,2008,1    ,31        ,4        ,1943.0 ,1935      ,2108.0 ,2101      ,DL           ,15       ,N751AT ,85.0             ,86.0          ,64.0   ,7.0     ,8.0     ,ATL   ,TPA ,406     ,5.0   ,16.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321871  ,2008,1    ,31        ,4        ,1847.0 ,1650      ,2051.0 ,1920      ,DL           ,16       ,N861DA ,124.0            ,150.0         ,94.0   ,91.0    ,117.0   ,ATL   ,JFK ,760     ,13.0  ,17.0   ,false    ,N               ,false   ,91.0        ,0.0         ,0.0     ,0.0          ,0.0              ,2008-01
321872  ,2008,1    ,31        ,4        ,1123.0 ,850       ,1343.0 ,1140      ,DL           ,17       ,N861DA ,140.0            ,170.0         ,118.0  ,123.0   ,153.0   ,JFK   ,ATL ,760     ,9.0   ,13.0   ,false    ,N               ,false   ,42.0        ,0.0         ,0.0     ,0.0          ,81.0             ,2008-01
321877  ,2008,1    ,31        ,4        ,1829.0 ,1600      ,2037.0 ,1823      ,DL           ,27       ,N677DL ,248.0            ,263.0         ,229.0  ,134.0   ,149.0   ,ATL   ,PHX ,1587    ,6.0   ,13.0   ,false    ,N               ,false   ,134.0       ,0.0         ,0.0     ,0.0          ,0.0              ,2008-01
321880  ,2008,1    ,31        ,4        ,1626.0 ,1620      ,1947.0 ,1955      ,DL           ,31       ,N712TW ,381.0            ,395.0         ,349.0  ,-8.0    ,6.0     ,JFK   ,LAX ,2475    ,10.0  ,22.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321882  ,2008,1    ,31        ,4        ,1156.0 ,1135      ,1914.0 ,1855      ,DL           ,36       ,N3768  ,258.0            ,260.0         ,226.0  ,19.0    ,21.0    ,SFO   ,CVG ,2036    ,8.0   ,24.0   ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,19.0             ,2008-01
25121   ,2008,1    ,10        ,4        ,1517.0 ,1235      ,1636.0 ,1405      ,WN           ,750      ,N234WN ,79.0             ,90.0          ,49.0   ,151.0   ,162.0   ,SFO   ,LAX ,337     ,4.0   ,26.0   ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,151.0            ,2008-01
321885  ,2008,1    ,31        ,4        ,1541.0 ,1535      ,1707.0 ,1707      ,DL           ,39       ,N829MH ,86.0             ,92.0          ,59.0   ,0.0     ,6.0     ,ATL   ,MCO ,403     ,5.0   ,22.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321890  ,2008,1    ,31        ,4        ,2025.0 ,1910      ,2248.0 ,2144      ,DL           ,47       ,N645DL ,323.0            ,334.0         ,303.0  ,64.0    ,75.0    ,ATL   ,SFO ,2139    ,6.0   ,14.0   ,false    ,N               ,false   ,0.0         ,0.0         ,64.0    ,0.0          ,0.0              ,2008-01
321895  ,2008,1    ,31        ,4        ,2001.0 ,1940      ,2122.0 ,2102      ,DL           ,57       ,N963DL ,141.0            ,142.0         ,121.0  ,20.0    ,21.0    ,ATL   ,IAH ,689     ,6.0   ,14.0   ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,20.0             ,2008-01
321898  ,2008,1    ,31        ,4        ,1044.0 ,1025      ,1747.0 ,1736      ,DL           ,61       ,N650DL ,243.0            ,251.0         ,221.0  ,11.0    ,19.0    ,LAX   ,ATL ,1946    ,10.0  ,12.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321899  ,2008,1    ,31        ,4        ,1340.0 ,1315      ,1643.0 ,1623      ,DL           ,62       ,N992DL ,123.0            ,128.0         ,96.0   ,20.0    ,25.0    ,DFW   ,ATL ,732     ,7.0   ,20.0   ,false    ,N               ,false   ,2.0         ,0.0         ,0.0     ,0.0          ,18.0             ,2008-01
321900  ,2008,1    ,31        ,4        ,1815.0 ,1805      ,1947.0 ,1934      ,DL           ,63       ,N602DL ,92.0             ,89.0          ,62.0   ,13.0    ,10.0    ,ATL   ,MCO ,403     ,7.0   ,23.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321901  ,2008,1    ,31        ,4        ,1240.0 ,1220      ,1954.0 ,1917      ,DL           ,64       ,N121DE ,254.0            ,237.0         ,210.0  ,37.0    ,20.0    ,LAS   ,ATL ,1747    ,15.0  ,29.0   ,false    ,N               ,false   ,20.0        ,0.0         ,17.0    ,0.0          ,0.0              ,2008-01
321902  ,2008,1    ,31        ,4        ,1903.0 ,1852      ,2045.0 ,2030      ,DL           ,65       ,N630DL ,282.0            ,278.0         ,249.0  ,15.0    ,11.0    ,ATL   ,LAS ,1747    ,7.0   ,26.0   ,false    ,N               ,false   ,11.0        ,0.0         ,4.0     ,0.0          ,0.0              ,2008-01
321904  ,2008,1    ,31        ,4        ,1643.0 ,1630      ,1907.0 ,1848      ,DL           ,67       ,N616DL ,264.0            ,258.0         ,239.0  ,19.0    ,13.0    ,ATL   ,SLC ,1589    ,5.0   ,20.0   ,false    ,N               ,false   ,13.0        ,0.0         ,6.0     ,0.0          ,0.0              ,2008-01
321907  ,2008,1    ,31        ,4        ,1339.0 ,1327      ,1538.0 ,1527      ,DL           ,70       ,N612DL ,119.0            ,120.0         ,88.0   ,11.0    ,12.0    ,MIA   ,ATL ,595     ,14.0  ,17.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
25122   ,2008,1    ,10        ,4        ,2015.0 ,1955      ,2133.0 ,2120      ,WN           ,777      ,N757LV ,78.0             ,85.0          ,51.0   ,13.0    ,20.0    ,SFO   ,LAX ,337     ,8.0   ,19.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321910  ,2008,1    ,31        ,4        ,1948.0 ,1853      ,2400.0 ,2258      ,DL           ,73       ,N393DA ,432.0            ,425.0         ,388.0  ,62.0    ,55.0    ,JFK   ,SFO ,2586    ,9.0   ,35.0   ,false    ,N               ,false   ,55.0        ,0.0         ,7.0     ,0.0          ,0.0              ,2008-01
321912  ,2008,1    ,31        ,4        ,1019.0 ,945       ,1840.0 ,1832      ,DL           ,78       ,N641DL ,321.0            ,347.0         ,286.0  ,8.0     ,34.0    ,LAX   ,JFK ,2475    ,16.0  ,19.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321916  ,2008,1    ,31        ,4        ,1522.0 ,1515      ,1750.0 ,1739      ,DL           ,84       ,N3744D ,148.0            ,144.0         ,85.0   ,11.0    ,7.0     ,CVG   ,JFK ,589     ,48.0  ,15.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321920  ,2008,1    ,31        ,4        ,748.0  ,715       ,1525.0 ,1509      ,DL           ,94       ,N3765  ,277.0            ,294.0         ,258.0  ,16.0    ,33.0    ,LAS   ,JFK ,2248    ,8.0   ,11.0   ,false    ,N               ,false   ,16.0        ,0.0         ,0.0     ,0.0          ,0.0              ,2008-01
321921  ,2008,1    ,31        ,4        ,1418.0 ,1355      ,1735.0 ,1715      ,DL           ,95       ,N3766  ,377.0            ,380.0         ,354.0  ,20.0    ,23.0    ,JFK   ,LAX ,2475    ,9.0   ,14.0   ,false    ,N               ,false   ,20.0        ,0.0         ,0.0     ,0.0          ,0.0              ,2008-01
321930  ,2008,1    ,31        ,4        ,1643.0 ,1637      ,1836.0 ,1815      ,DL           ,115      ,N940DL ,173.0            ,158.0         ,129.0  ,21.0    ,6.0     ,ATL   ,DFW ,732     ,9.0   ,35.0   ,false    ,N               ,false   ,0.0         ,0.0         ,21.0    ,0.0          ,0.0              ,2008-01
321940  ,2008,1    ,31        ,4        ,2126.0 ,1945      ,44.0   ,2341      ,DL           ,133      ,N3737C ,378.0            ,416.0         ,351.0  ,63.0    ,101.0   ,JFK   ,LAX ,2475    ,15.0  ,12.0   ,false    ,N               ,false   ,24.0        ,0.0         ,0.0     ,0.0          ,39.0             ,2008-01
321941  ,2008,1    ,31        ,4        ,1211.0 ,1204      ,1402.0 ,1415      ,DL           ,134      ,N932DL ,111.0            ,131.0         ,95.0   ,-13.0   ,7.0     ,ATL   ,JFK ,760     ,4.0   ,12.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321948  ,2008,1    ,31        ,4        ,1652.0 ,1625      ,2127.0 ,2026      ,DL           ,151      ,N3758Y ,455.0            ,421.0         ,382.0  ,61.0    ,27.0    ,JFK   ,SFO ,2586    ,8.0   ,65.0   ,false    ,N               ,false   ,0.0         ,0.0         ,61.0    ,0.0          ,0.0              ,2008-01
321952  ,2008,1    ,31        ,4        ,1712.0 ,1705      ,1851.0 ,1840      ,DL           ,176      ,N831MH ,99.0             ,95.0          ,78.0   ,11.0    ,7.0     ,MCO   ,ATL ,403     ,10.0  ,11.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
25125   ,2008,1    ,10        ,4        ,1500.0 ,1310      ,2042.0 ,1920      ,WN           ,106      ,N275WN ,222.0            ,250.0         ,206.0  ,82.0    ,110.0   ,SFO   ,MDW ,1855    ,4.0   ,12.0   ,false    ,N               ,false   ,9.0         ,0.0         ,0.0     ,0.0          ,73.0             ,2008-01
321953  ,2008,1    ,31        ,4        ,1745.0 ,1715      ,1904.0 ,1849      ,DL           ,177      ,N609DL ,79.0             ,94.0          ,62.0   ,15.0    ,30.0    ,ATL   ,TPA ,406     ,4.0   ,13.0   ,false    ,N               ,false   ,12.0        ,0.0         ,0.0     ,0.0          ,3.0              ,2008-01
321954  ,2008,1    ,31        ,4        ,1002.0 ,950       ,1139.0 ,1150      ,DL           ,189      ,N864DA ,277.0            ,300.0         ,256.0  ,-11.0   ,12.0    ,ATL   ,LAX ,1946    ,7.0   ,14.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321955  ,2008,1    ,31        ,4        ,2128.0 ,2120      ,2241.0 ,2225      ,DL           ,227      ,N697DL ,133.0            ,125.0         ,94.0   ,16.0    ,8.0     ,SLC   ,LAX ,590     ,11.0  ,28.0   ,false    ,N               ,false   ,8.0         ,0.0         ,8.0     ,0.0          ,0.0              ,2008-01
